[2026-05-23 06:11:25] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:11:33] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:11:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:11:38] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:11:38] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:11:38] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:11:41] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:11:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:11:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:11:46] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:11:47] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:11:47] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:11:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:11:59] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:12:00] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:12:01] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:12:01] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:12:04] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:12:06] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:12:06] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:12:14] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:12:14] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:12:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:12:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:12:17] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:12:17] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:12:18] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:12:18] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:13:54] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:14:24] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:14:25] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:14:26] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:14:26] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:14:28] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:14:28] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:14:28] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:14:29] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:14:29] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:14:29] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:14:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:14:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:14:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:14:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:14:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:14:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:14:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:18:48] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:18:49] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:18:51] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:18:51] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:18:51] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:18:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:18:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:18:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:18:54] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:18:55] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:18:55] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:22:14] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:22:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:22:16] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:22:17] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:22:17] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:22:18] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:22:18] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:22:18] FrameRendered: from current_frame.txt | Source: renderer
