[2026-05-23 06:11:59] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:12:00] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 06:12:01] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:12:04] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-05-23 06:12:06] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-05-23 06:12:06] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:14:24] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:14:25] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 06:14:26] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:14:28] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:14:28] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:14:28] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-23 06:14:28] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:14:29] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:14:29] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:14:29] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:14:30] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:14:30] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:14:30] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:14:30] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-23 06:14:31] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:18:49] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:18:51] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 06:18:51] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:18:53] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-05-23 06:18:53] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:18:54] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-05-23 06:18:55] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:22:15] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:22:16] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 06:22:17] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:22:18] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-05-23 06:22:18] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:22:19] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-05-23 06:22:19] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:27:41] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-23 06:27:55] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:27:56] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 06:27:56] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 06:27:57] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:27:58] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:27:59] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 06:28:00] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:28:01] KeyCaptured: 53 ('5') | Source: keyboard_linux
[2026-05-23 06:28:01] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-05-23 06:28:02] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:28:02] KeyCaptured: 53 ('5') | Source: keyboard_linux
[2026-05-23 06:28:03] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-05-23 06:28:03] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:28:29] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-05-23 06:28:32] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:32:30] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-23 06:32:31] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:32:32] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:32:33] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:32:33] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:32:34] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:32:34] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-23 06:32:35] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-23 06:32:35] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:32:37] KeyCaptured: 99 ('c') | Source: keyboard_linux
[2026-05-23 06:32:40] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:32:41] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 06:32:42] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:32:43] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-05-23 06:32:44] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:32:46] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-05-23 06:32:47] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 06:32:47] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:32:49] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:32:49] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:32:49] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:32:50] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-23 06:32:50] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-23 06:32:51] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:32:52] KeyCaptured: 45 ('-') | Source: keyboard_linux
[2026-05-23 06:32:53] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 06:32:53] KeyCaptured: 46 ('.') | Source: keyboard_linux
[2026-05-23 06:32:53] KeyCaptured: 116 ('t') | Source: keyboard_linux
[2026-05-23 06:32:54] KeyCaptured: 120 ('x') | Source: keyboard_linux
[2026-05-23 06:32:54] KeyCaptured: 116 ('t') | Source: keyboard_linux
[2026-05-23 06:32:55] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:33:04] KeyCaptured: 99 ('c') | Source: keyboard_linux
[2026-05-23 06:33:05] KeyCaptured: 99 ('c') | Source: keyboard_linux
[2026-05-23 06:33:22] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:33:23] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 06:33:24] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:36:20] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-23 06:36:41] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:36:42] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-05-23 06:36:42] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-23 06:36:43] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:36:44] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:36:45] KeyCaptured: 104 ('h') | Source: keyboard_linux
[2026-05-23 06:36:45] KeyCaptured: 105 ('i') | Source: keyboard_linux
[2026-05-23 06:36:46] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:36:47] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:36:47] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:36:48] KeyCaptured: 27 ('?') | Source: keyboard_linux
[2026-05-23 06:36:48] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:36:48] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:36:49] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:36:52] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:36:53] KeyCaptured: 1003 ('?') | Source: keyboard_linux
