[2026-05-23 06:40:26] FrameRendered: at 2026-05-23 06:40:26 | Source: renderer
[2026-05-23 06:40:28] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-23 06:40:28] FrameRendered: at 2026-05-23 06:40:28 | Source: renderer
[2026-05-23 06:40:33] InputReceived: key_code=50 | Source: keyboard_linux
[2026-05-23 06:40:33] FrameRendered: at 2026-05-23 06:40:33 | Source: renderer
[2026-05-23 06:40:33] InputReceived: key_code=51 | Source: keyboard_linux
[2026-05-23 06:40:33] FrameRendered: at 2026-05-23 06:40:33 | Source: renderer
[2026-05-23 06:40:34] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-23 06:40:34] FrameRendered: at 2026-05-23 06:40:34 | Source: renderer
[2026-05-23 06:40:34] FrameRendered: at 2026-05-23 06:40:34 | Source: renderer
[2026-05-23 06:40:34] FrameRendered: at 2026-05-23 06:40:34 | Source: renderer
[2026-05-23 06:40:36] InputReceived: key_code=57 | Source: keyboard_linux
[2026-05-23 06:40:36] FrameRendered: at 2026-05-23 06:40:36 | Source: renderer
[2026-05-23 06:40:36] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-23 06:40:36] FrameRendered: at 2026-05-23 06:40:36 | Source: renderer
[2026-05-23 06:40:37] FrameRendered: at 2026-05-23 06:40:37 | Source: renderer
[2026-05-23 06:40:37] FrameRendered: at 2026-05-23 06:40:37 | Source: renderer
[2026-05-23 06:40:43] InputReceived: key_code=22 | Source: keyboard_linux
[2026-05-23 06:40:43] FrameRendered: at 2026-05-23 06:40:43 | Source: renderer
