[2026-05-07 18:01:32] FrameRendered: at 2026-05-07 18:01:32 | Source: renderer
[2026-05-07 18:01:35] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-07 18:01:35] FrameRendered: at 2026-05-07 18:01:35 | Source: renderer
[2026-05-07 18:01:35] FrameRendered: at 2026-05-07 18:01:35 | Source: renderer
[2026-05-07 18:01:36] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-07 18:01:37] FrameRendered: at 2026-05-07 18:01:37 | Source: renderer
[2026-05-07 18:01:37] FrameRendered: at 2026-05-07 18:01:37 | Source: renderer
[2026-05-07 18:01:39] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-07 18:01:39] FrameRendered: at 2026-05-07 18:01:39 | Source: renderer
[2026-05-07 18:01:40] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-07 18:01:40] FrameRendered: at 2026-05-07 18:01:40 | Source: renderer
[2026-05-07 18:01:40] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-07 18:01:40] FrameRendered: at 2026-05-07 18:01:40 | Source: renderer
[2026-05-07 18:01:41] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-07 18:01:41] FrameRendered: at 2026-05-07 18:01:41 | Source: renderer
[2026-05-07 18:01:41] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-07 18:01:42] FrameRendered: at 2026-05-07 18:01:42 | Source: renderer
[2026-05-07 18:01:42] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-07 18:01:42] FrameRendered: at 2026-05-07 18:01:42 | Source: renderer
[2026-05-07 18:01:43] InputReceived: key_code=27 | Source: keyboard_linux
[2026-05-07 18:01:44] FrameRendered: at 2026-05-07 18:01:44 | Source: renderer
[2026-05-07 18:01:44] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-07 18:01:44] FrameRendered: at 2026-05-07 18:01:44 | Source: renderer
[2026-05-07 18:01:45] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-07 18:01:45] FrameRendered: at 2026-05-07 18:01:45 | Source: renderer
