[2026-05-06 05:12:12] FrameRendered: at 2026-05-06 05:12:12 | Source: renderer
[2026-05-06 05:12:15] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-06 05:12:15] FrameRendered: at 2026-05-06 05:12:15 | Source: renderer
[2026-05-06 05:12:15] FrameRendered: at 2026-05-06 05:12:15 | Source: renderer
[2026-05-06 05:12:15] InputReceived: key_code=49 | Source: keyboard_linux
[2026-05-06 05:12:15] FrameRendered: at 2026-05-06 05:12:15 | Source: renderer
[2026-05-06 05:12:15] InputReceived: key_code=50 | Source: keyboard_linux
[2026-05-06 05:12:16] FrameRendered: at 2026-05-06 05:12:16 | Source: renderer
[2026-05-06 05:12:16] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-06 05:12:17] FrameRendered: at 2026-05-06 05:12:17 | Source: renderer
[2026-05-06 05:12:17] FrameRendered: at 2026-05-06 05:12:17 | Source: renderer
[2026-05-06 05:12:17] FrameRendered: at 2026-05-06 05:12:17 | Source: renderer
[2026-05-06 05:12:18] InputReceived: key_code=57 | Source: keyboard_linux
[2026-05-06 05:12:18] FrameRendered: at 2026-05-06 05:12:18 | Source: renderer
[2026-05-06 05:12:19] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-06 05:12:19] FrameRendered: at 2026-05-06 05:12:19 | Source: renderer
[2026-05-06 05:12:19] FrameRendered: at 2026-05-06 05:12:19 | Source: renderer
[2026-05-06 05:12:19] FrameRendered: at 2026-05-06 05:12:19 | Source: renderer
[2026-05-06 05:12:22] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-06 05:12:22] FrameRendered: at 2026-05-06 05:12:22 | Source: renderer
[2026-05-06 05:12:22] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-06 05:12:22] FrameRendered: at 2026-05-06 05:12:22 | Source: renderer
[2026-05-06 05:12:22] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-06 05:12:22] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-06 05:12:23] FrameRendered: at 2026-05-06 05:12:23 | Source: renderer
[2026-05-06 05:12:23] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-06 05:12:23] FrameRendered: at 2026-05-06 05:12:23 | Source: renderer
[2026-05-06 05:12:24] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-06 05:12:24] FrameRendered: at 2026-05-06 05:12:24 | Source: renderer
[2026-05-06 05:12:24] InputReceived: key_code=116 | Source: keyboard_linux
[2026-05-06 05:12:24] FrameRendered: at 2026-05-06 05:12:24 | Source: renderer
[2026-05-06 05:12:25] InputReceived: key_code=101 | Source: keyboard_linux
[2026-05-06 05:12:25] InputReceived: key_code=115 | Source: keyboard_linux
[2026-05-06 05:12:25] InputReceived: key_code=116 | Source: keyboard_linux
[2026-05-06 05:12:25] FrameRendered: at 2026-05-06 05:12:25 | Source: renderer
[2026-05-06 05:12:25] FrameRendered: at 2026-05-06 05:12:25 | Source: renderer
[2026-05-06 05:12:25] InputReceived: key_code=49 | Source: keyboard_linux
[2026-05-06 05:12:25] FrameRendered: at 2026-05-06 05:12:25 | Source: renderer
[2026-05-06 05:12:26] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-06 05:12:26] FrameRendered: at 2026-05-06 05:12:26 | Source: renderer
[2026-05-06 05:12:27] InputReceived: key_code=96 | Source: keyboard_linux
[2026-05-06 05:12:27] FrameRendered: at 2026-05-06 05:12:27 | Source: renderer
[2026-05-06 05:12:27] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-06 05:12:27] FrameRendered: at 2026-05-06 05:12:27 | Source: renderer
[2026-05-06 05:12:29] InputReceived: key_code=27 | Source: keyboard_linux
[2026-05-06 05:12:29] FrameRendered: at 2026-05-06 05:12:29 | Source: renderer
[2026-05-06 05:12:29] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-06 05:12:29] FrameRendered: at 2026-05-06 05:12:29 | Source: renderer
[2026-05-06 05:12:30] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-06 05:12:30] FrameRendered: at 2026-05-06 05:12:30 | Source: renderer
[2026-05-06 05:12:30] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-06 05:12:30] FrameRendered: at 2026-05-06 05:12:30 | Source: renderer
[2026-05-06 05:12:31] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-06 05:12:31] FrameRendered: at 2026-05-06 05:12:31 | Source: renderer
[2026-05-06 05:12:32] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-06 05:12:32] FrameRendered: at 2026-05-06 05:12:32 | Source: renderer
[2026-05-06 05:12:33] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-06 05:12:33] FrameRendered: at 2026-05-06 05:12:33 | Source: renderer
[2026-05-06 05:12:33] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-06 05:12:33] FrameRendered: at 2026-05-06 05:12:33 | Source: renderer
[2026-05-06 05:12:34] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-06 05:12:34] FrameRendered: at 2026-05-06 05:12:34 | Source: renderer
[2026-05-06 05:12:34] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-06 05:12:34] FrameRendered: at 2026-05-06 05:12:34 | Source: renderer
