[2026-05-04 04:57:03] FrameRendered: at 2026-05-04 04:57:03 | Source: renderer
[2026-05-04 04:57:05] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-04 04:57:05] FrameRendered: at 2026-05-04 04:57:05 | Source: renderer
[2026-05-04 04:57:05] FrameRendered: at 2026-05-04 04:57:05 | Source: renderer
[2026-05-04 04:57:07] InputReceived: key_code=50 | Source: keyboard_linux
[2026-05-04 04:57:07] FrameRendered: at 2026-05-04 04:57:07 | Source: renderer
[2026-05-04 04:57:07] InputReceived: key_code=54 | Source: keyboard_linux
[2026-05-04 04:57:07] FrameRendered: at 2026-05-04 04:57:07 | Source: renderer
[2026-05-04 04:57:08] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-04 04:57:08] FrameRendered: at 2026-05-04 04:57:08 | Source: renderer
[2026-05-04 04:57:10] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-04 04:57:10] FrameRendered: at 2026-05-04 04:57:10 | Source: renderer
[2026-05-04 04:57:12] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-04 04:57:12] FrameRendered: at 2026-05-04 04:57:12 | Source: renderer
