[2026-05-03 03:10:30] FrameRendered: at 2026-05-03 03:10:30 | Source: renderer
[2026-05-03 03:10:32] FrameRendered: at 2026-05-03 03:10:32 | Source: renderer
[2026-05-03 03:10:32] FrameRendered: at 2026-05-03 03:10:32 | Source: renderer
[1777792239] EntityMoved: xlector | from (4,3) to (5,3)
[2026-05-03 03:10:39] FrameRendered: at 2026-05-03 03:10:39 | Source: renderer
[1777792240] EntityMoved: xlector | from (5,3) to (4,3)
[2026-05-03 03:10:40] FrameRendered: at 2026-05-03 03:10:40 | Source: renderer
[1777792240] TreasureFound: xlector | 
[1777792240] EntityMoved: xlector | from (4,3) to (4,2)
[2026-05-03 03:10:40] FrameRendered: at 2026-05-03 03:10:40 | Source: renderer
[1777792240] EntityMoved: xlector | from (4,2) to (4,1)
[2026-05-03 03:10:40] FrameRendered: at 2026-05-03 03:10:40 | Source: renderer
[1777792241] EntityMoved: xlector | from (4,1) to (4,0)
[2026-05-03 03:10:41] FrameRendered: at 2026-05-03 03:10:41 | Source: renderer
[1777792241] EntityMoved: xlector | from (4,0) to (3,0)
[2026-05-03 03:10:41] FrameRendered: at 2026-05-03 03:10:41 | Source: renderer
[1777792241] EntityMoved: xlector | from (3,0) to (2,0)
[2026-05-03 03:10:41] FrameRendered: at 2026-05-03 03:10:41 | Source: renderer
[1777792242] EntityMoved: xlector | from (2,0) to (1,0)
[2026-05-03 03:10:42] FrameRendered: at 2026-05-03 03:10:42 | Source: renderer
[1777792242] EntityMoved: xlector | from (1,0) to (0,0)
[2026-05-03 03:10:42] FrameRendered: at 2026-05-03 03:10:42 | Source: renderer
[1777792242] EntityMoved: xlector | from (0,0) to (-1,0)
[2026-05-03 03:10:42] FrameRendered: at 2026-05-03 03:10:42 | Source: renderer
