[2026-05-17 03:42:53] FrameRendered: at 2026-05-17 03:42:53 | Source: renderer
[2026-05-17 03:42:54] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-17 03:42:54] FrameRendered: at 2026-05-17 03:42:54 | Source: renderer
[2026-05-17 03:42:56] InputReceived: key_code=49 | Source: keyboard_linux
[2026-05-17 03:42:56] FrameRendered: at 2026-05-17 03:42:56 | Source: renderer
[2026-05-17 03:42:56] InputReceived: key_code=53 | Source: keyboard_linux
[2026-05-17 03:42:56] FrameRendered: at 2026-05-17 03:42:56 | Source: renderer
[2026-05-17 03:42:56] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-17 03:42:56] FrameRendered: at 2026-05-17 03:42:56 | Source: renderer
[2026-05-17 03:42:56] FrameRendered: at 2026-05-17 03:42:56 | Source: renderer
[2026-05-17 03:42:56] FrameRendered: at 2026-05-17 03:42:56 | Source: renderer
[2026-05-17 03:42:58] InputReceived: key_code=56 | Source: keyboard_linux
[2026-05-17 03:42:58] FrameRendered: at 2026-05-17 03:42:58 | Source: renderer
[2026-05-17 03:42:59] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-17 03:42:59] FrameRendered: at 2026-05-17 03:42:59 | Source: renderer
[2026-05-17 03:43:00] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-17 03:43:00] FrameRendered: at 2026-05-17 03:43:00 | Source: renderer
[2026-05-17 03:43:00] FrameRendered: at 2026-05-17 03:43:00 | Source: renderer
[2026-05-17 03:43:00] FrameRendered: at 2026-05-17 03:43:00 | Source: renderer
[2026-05-17 03:43:01] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-17 03:43:01] FrameRendered: at 2026-05-17 03:43:01 | Source: renderer
[2026-05-17 03:43:01] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-17 03:43:01] FrameRendered: at 2026-05-17 03:43:01 | Source: renderer
[2026-05-17 03:43:01] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-17 03:43:01] FrameRendered: at 2026-05-17 03:43:01 | Source: renderer
[2026-05-17 03:43:02] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-17 03:43:02] FrameRendered: at 2026-05-17 03:43:02 | Source: renderer
[2026-05-17 03:43:03] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-17 03:43:03] FrameRendered: at 2026-05-17 03:43:03 | Source: renderer
[2026-05-17 03:43:04] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-17 03:43:04] FrameRendered: at 2026-05-17 03:43:04 | Source: renderer
[2026-05-17 03:43:05] InputReceived: key_code=56 | Source: keyboard_linux
[2026-05-17 03:43:05] FrameRendered: at 2026-05-17 03:43:05 | Source: renderer
[2026-05-17 03:43:06] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-17 03:43:06] FrameRendered: at 2026-05-17 03:43:06 | Source: renderer
[2026-05-17 03:43:06] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-17 03:43:06] FrameRendered: at 2026-05-17 03:43:06 | Source: renderer
[2026-05-17 03:43:07] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-17 03:43:07] FrameRendered: at 2026-05-17 03:43:07 | Source: renderer
[2026-05-17 03:43:08] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-17 03:43:08] FrameRendered: at 2026-05-17 03:43:08 | Source: renderer
[2026-05-17 03:43:08] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-17 03:43:08] FrameRendered: at 2026-05-17 03:43:08 | Source: renderer
[2026-05-17 03:43:10] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-17 03:43:10] FrameRendered: at 2026-05-17 03:43:10 | Source: renderer
[2026-05-17 03:43:17] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-17 03:43:17] FrameRendered: at 2026-05-17 03:43:17 | Source: renderer
[2026-05-17 03:43:17] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-17 03:43:18] FrameRendered: at 2026-05-17 03:43:18 | Source: renderer
[2026-05-17 03:43:18] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-17 03:43:18] FrameRendered: at 2026-05-17 03:43:18 | Source: renderer
[2026-05-17 03:43:20] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-17 03:43:20] FrameRendered: at 2026-05-17 03:43:20 | Source: renderer
[2026-05-17 03:43:21] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-17 03:43:21] FrameRendered: at 2026-05-17 03:43:21 | Source: renderer
