[2026-05-20 22:05:17] FrameRendered: at 2026-05-20 22:05:17 | Source: renderer
[2026-05-20 22:05:18] FrameRendered: at 2026-05-20 22:05:18 | Source: renderer
[2026-05-20 22:05:22] InputReceived: key_code=50 | Source: keyboard_linux
[2026-05-20 22:05:22] FrameRendered: at 2026-05-20 22:05:22 | Source: renderer
[2026-05-20 22:05:22] InputReceived: key_code=54 | Source: keyboard_linux
[2026-05-20 22:05:22] FrameRendered: at 2026-05-20 22:05:22 | Source: renderer
[2026-05-20 22:05:23] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-20 22:05:23] FrameRendered: at 2026-05-20 22:05:23 | Source: renderer
[2026-05-20 22:05:23] FrameRendered: at 2026-05-20 22:05:23 | Source: renderer
[2026-05-20 22:05:25] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-20 22:05:25] FrameRendered: at 2026-05-20 22:05:25 | Source: renderer
[2026-05-20 22:05:25] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-20 22:05:26] FrameRendered: at 2026-05-20 22:05:26 | Source: renderer
[2026-05-20 22:05:26] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-20 22:05:26] FrameRendered: at 2026-05-20 22:05:26 | Source: renderer
[2026-05-20 22:05:29] InputReceived: key_code=52 | Source: keyboard_linux
[2026-05-20 22:05:29] FrameRendered: at 2026-05-20 22:05:29 | Source: renderer
[2026-05-20 22:05:31] InputReceived: key_code=52 | Source: keyboard_linux
[2026-05-20 22:05:31] FrameRendered: at 2026-05-20 22:05:31 | Source: renderer
[2026-05-20 22:05:32] InputReceived: key_code=53 | Source: keyboard_linux
[2026-05-20 22:05:32] FrameRendered: at 2026-05-20 22:05:32 | Source: renderer
[2026-05-20 22:05:34] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-20 22:05:34] FrameRendered: at 2026-05-20 22:05:34 | Source: renderer
[2026-05-20 22:05:34] FrameRendered: at 2026-05-20 22:05:34 | Source: renderer
[2026-05-20 22:05:36] InputReceived: key_code=27 | Source: keyboard_linux
[2026-05-20 22:05:36] FrameRendered: at 2026-05-20 22:05:36 | Source: renderer
[2026-05-20 22:05:37] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-20 22:05:37] FrameRendered: at 2026-05-20 22:05:37 | Source: renderer
[2026-05-20 22:05:37] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-05-20 22:05:37] FrameRendered: at 2026-05-20 22:05:37 | Source: renderer
[2026-05-20 22:05:38] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-20 22:05:38] FrameRendered: at 2026-05-20 22:05:38 | Source: renderer
[2026-05-20 22:05:39] InputReceived: key_code=32 | Source: keyboard_linux
[2026-05-20 22:05:39] FrameRendered: at 2026-05-20 22:05:39 | Source: renderer
[2026-05-20 22:05:39] InputReceived: key_code=104 | Source: keyboard_linux
[2026-05-20 22:05:39] FrameRendered: at 2026-05-20 22:05:39 | Source: renderer
[2026-05-20 22:05:39] InputReceived: key_code=111 | Source: keyboard_linux
[2026-05-20 22:05:39] FrameRendered: at 2026-05-20 22:05:39 | Source: renderer
[2026-05-20 22:05:40] InputReceived: key_code=119 | Source: keyboard_linux
[2026-05-20 22:05:40] FrameRendered: at 2026-05-20 22:05:40 | Source: renderer
[2026-05-20 22:05:40] InputReceived: key_code=32 | Source: keyboard_linux
[2026-05-20 22:05:40] FrameRendered: at 2026-05-20 22:05:40 | Source: renderer
[2026-05-20 22:05:40] InputReceived: key_code=97 | Source: keyboard_linux
[2026-05-20 22:05:40] FrameRendered: at 2026-05-20 22:05:40 | Source: renderer
[2026-05-20 22:05:40] InputReceived: key_code=114 | Source: keyboard_linux
[2026-05-20 22:05:40] FrameRendered: at 2026-05-20 22:05:40 | Source: renderer
[2026-05-20 22:05:40] InputReceived: key_code=101 | Source: keyboard_linux
[2026-05-20 22:05:40] FrameRendered: at 2026-05-20 22:05:40 | Source: renderer
[2026-05-20 22:05:40] InputReceived: key_code=32 | Source: keyboard_linux
[2026-05-20 22:05:40] FrameRendered: at 2026-05-20 22:05:40 | Source: renderer
[2026-05-20 22:05:40] InputReceived: key_code=117 | Source: keyboard_linux
[2026-05-20 22:05:40] FrameRendered: at 2026-05-20 22:05:40 | Source: renderer
[2026-05-20 22:05:40] InputReceived: key_code=32 | Source: keyboard_linux
[2026-05-20 22:05:40] FrameRendered: at 2026-05-20 22:05:40 | Source: renderer
[2026-05-20 22:05:41] InputReceived: key_code=63 | Source: keyboard_linux
[2026-05-20 22:05:41] FrameRendered: at 2026-05-20 22:05:41 | Source: renderer
[2026-05-20 22:05:41] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-20 22:05:41] FrameRendered: at 2026-05-20 22:05:41 | Source: renderer
[2026-05-20 22:05:41] FrameRendered: at 2026-05-20 22:05:41 | Source: renderer
[2026-05-20 22:05:42] FrameRendered: at 2026-05-20 22:05:42 | Source: renderer
[2026-05-20 22:05:43] FrameRendered: at 2026-05-20 22:05:43 | Source: renderer
[2026-05-20 22:05:44] FrameRendered: at 2026-05-20 22:05:44 | Source: renderer
[2026-05-20 22:05:45] FrameRendered: at 2026-05-20 22:05:45 | Source: renderer
[2026-05-20 22:05:46] FrameRendered: at 2026-05-20 22:05:46 | Source: renderer
[2026-05-20 22:05:47] FrameRendered: at 2026-05-20 22:05:47 | Source: renderer
[2026-05-20 22:05:48] FrameRendered: at 2026-05-20 22:05:48 | Source: renderer
[2026-05-20 22:05:49] FrameRendered: at 2026-05-20 22:05:49 | Source: renderer
[2026-05-20 22:05:50] FrameRendered: at 2026-05-20 22:05:50 | Source: renderer
[2026-05-20 22:05:51] FrameRendered: at 2026-05-20 22:05:51 | Source: renderer
[2026-05-20 22:05:52] FrameRendered: at 2026-05-20 22:05:52 | Source: renderer
[2026-05-20 22:05:53] FrameRendered: at 2026-05-20 22:05:53 | Source: renderer
[2026-05-20 22:05:54] FrameRendered: at 2026-05-20 22:05:54 | Source: renderer
[2026-05-20 22:05:55] FrameRendered: at 2026-05-20 22:05:55 | Source: renderer
[2026-05-20 22:05:56] FrameRendered: at 2026-05-20 22:05:56 | Source: renderer
[2026-05-20 22:05:57] FrameRendered: at 2026-05-20 22:05:57 | Source: renderer
[2026-05-20 22:05:58] FrameRendered: at 2026-05-20 22:05:58 | Source: renderer
[2026-05-20 22:05:59] FrameRendered: at 2026-05-20 22:05:59 | Source: renderer
[2026-05-20 22:06:00] FrameRendered: at 2026-05-20 22:06:00 | Source: renderer
[2026-05-20 22:06:01] FrameRendered: at 2026-05-20 22:06:01 | Source: renderer
[2026-05-20 22:06:02] FrameRendered: at 2026-05-20 22:06:02 | Source: renderer
[2026-05-20 22:06:03] FrameRendered: at 2026-05-20 22:06:03 | Source: renderer
[2026-05-20 22:06:04] FrameRendered: at 2026-05-20 22:06:04 | Source: renderer
[2026-05-20 22:06:05] FrameRendered: at 2026-05-20 22:06:05 | Source: renderer
[2026-05-20 22:06:06] FrameRendered: at 2026-05-20 22:06:06 | Source: renderer
[2026-05-20 22:06:07] FrameRendered: at 2026-05-20 22:06:07 | Source: renderer
[2026-05-20 22:06:08] FrameRendered: at 2026-05-20 22:06:08 | Source: renderer
[2026-05-20 22:06:09] FrameRendered: at 2026-05-20 22:06:09 | Source: renderer
[2026-05-20 22:06:09] FrameRendered: at 2026-05-20 22:06:09 | Source: renderer
