[2026-05-21 16:40:37] FrameRendered: at 2026-05-21 16:40:37 | Source: renderer
[2026-05-21 16:40:39] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-21 16:40:39] FrameRendered: at 2026-05-21 16:40:39 | Source: renderer
[2026-05-21 16:40:42] InputReceived: key_code=51 | Source: keyboard_linux
[2026-05-21 16:40:42] FrameRendered: at 2026-05-21 16:40:42 | Source: renderer
[2026-05-21 16:40:42] InputReceived: key_code=48 | Source: keyboard_linux
[2026-05-21 16:40:42] FrameRendered: at 2026-05-21 16:40:42 | Source: renderer
[2026-05-21 16:40:43] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-21 16:40:43] FrameRendered: at 2026-05-21 16:40:43 | Source: renderer
[2026-05-21 16:40:43] FrameRendered: at 2026-05-21 16:40:43 | Source: renderer
[2026-05-21 16:40:44] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-21 16:40:45] FrameRendered: at 2026-05-21 16:40:45 | Source: renderer
[2026-05-21 16:40:45] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-21 16:40:45] FrameRendered: at 2026-05-21 16:40:45 | Source: renderer
[2026-05-21 16:40:45] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-21 16:40:45] FrameRendered: at 2026-05-21 16:40:45 | Source: renderer
[2026-05-21 16:40:45] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-21 16:40:45] FrameRendered: at 2026-05-21 16:40:45 | Source: renderer
