[2026-05-11 15:37:11] FrameRendered: at 2026-05-11 15:37:11 | Source: renderer
[2026-05-11 15:37:13] FrameRendered: at 2026-05-11 15:37:13 | Source: renderer
[2026-05-11 15:37:13] FrameRendered: at 2026-05-11 15:37:13 | Source: renderer
[2026-05-11 15:37:15] FrameRendered: at 2026-05-11 15:37:15 | Source: renderer
[2026-05-11 15:37:16] FrameRendered: at 2026-05-11 15:37:16 | Source: renderer
[2026-05-11 15:37:16] FrameRendered: at 2026-05-11 15:37:16 | Source: renderer
[2026-05-11 15:37:17] FrameRendered: at 2026-05-11 15:37:17 | Source: renderer
[2026-05-11 15:37:17] FrameRendered: at 2026-05-11 15:37:17 | Source: renderer
[2026-05-11 15:37:17] FrameRendered: at 2026-05-11 15:37:17 | Source: renderer
[2026-05-11 15:37:20] FrameRendered: at 2026-05-11 15:37:20 | Source: renderer
[2026-05-11 15:37:20] FrameRendered: at 2026-05-11 15:37:20 | Source: renderer
[2026-05-11 15:37:20] FrameRendered: at 2026-05-11 15:37:20 | Source: renderer
[2026-05-11 15:37:21] FrameRendered: at 2026-05-11 15:37:21 | Source: renderer
[2026-05-11 15:37:22] FrameRendered: at 2026-05-11 15:37:22 | Source: renderer
[2026-05-11 15:37:22] FrameRendered: at 2026-05-11 15:37:22 | Source: renderer
