[2026-06-22 15:43:37] FrameRendered: at 2026-06-22 15:43:37 | Source: renderer
[2026-06-22 15:43:39] InputReceived: key_code=13 | Source: keyboard_linux
[2026-06-22 15:43:39] FrameRendered: at 2026-06-22 15:43:39 | Source: renderer
[2026-06-22 15:43:40] InputReceived: key_code=13 | Source: keyboard_linux
[2026-06-22 15:43:40] FrameRendered: at 2026-06-22 15:43:40 | Source: renderer
[2026-06-22 15:43:40] FrameRendered: at 2026-06-22 15:43:40 | Source: renderer
[2026-06-22 15:43:42] InputReceived: key_code=13 | Source: keyboard_linux
[2026-06-22 15:43:42] FrameRendered: at 2026-06-22 15:43:42 | Source: renderer
[2026-06-22 15:43:43] InputReceived: key_code=42 | Source: keyboard_linux
[2026-06-22 15:43:43] FrameRendered: at 2026-06-22 15:43:43 | Source: renderer
[2026-06-22 15:43:43] FrameRendered: at 2026-06-22 15:43:43 | Source: renderer
[2026-06-22 15:43:45] InputReceived: key_code=27 | Source: keyboard_linux
[2026-06-22 15:43:45] FrameRendered: at 2026-06-22 15:43:45 | Source: renderer
[2026-06-22 15:43:45] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-06-22 15:43:45] FrameRendered: at 2026-06-22 15:43:45 | Source: renderer
[2026-06-22 15:43:45] InputReceived: key_code=13 | Source: keyboard_linux
[2026-06-22 15:43:45] FrameRendered: at 2026-06-22 15:43:45 | Source: renderer
[2026-06-22 15:43:48] InputReceived: key_code=27 | Source: keyboard_linux
[2026-06-22 15:43:48] FrameRendered: at 2026-06-22 15:43:48 | Source: renderer
