[2026-06-23 02:30:25] FrameRendered: at 2026-06-23 02:30:25 | Source: renderer
[2026-06-23 02:30:25] FrameRendered: at 2026-06-23 02:30:25 | Source: renderer
[2026-06-23 02:30:48] FrameRendered: at 2026-06-23 02:30:48 | Source: renderer
[2026-06-23 02:30:54] FrameRendered: at 2026-06-23 02:30:54 | Source: renderer
[2026-06-23 02:30:55] FrameRendered: at 2026-06-23 02:30:55 | Source: renderer
[2026-06-23 02:30:55] FrameRendered: at 2026-06-23 02:30:55 | Source: renderer
[2026-06-23 02:30:55] FrameRendered: at 2026-06-23 02:30:55 | Source: renderer
[2026-06-23 02:30:57] FrameRendered: at 2026-06-23 02:30:57 | Source: renderer
[2026-06-23 02:30:58] FrameRendered: at 2026-06-23 02:30:58 | Source: renderer
[2026-06-23 02:30:58] FrameRendered: at 2026-06-23 02:30:58 | Source: renderer
[2026-06-23 02:31:00] FrameRendered: at 2026-06-23 02:31:00 | Source: renderer
[2026-06-23 02:31:00] FrameRendered: at 2026-06-23 02:31:00 | Source: renderer
[2026-06-23 02:31:00] FrameRendered: at 2026-06-23 02:31:00 | Source: renderer
[2026-06-23 02:31:02] FrameRendered: at 2026-06-23 02:31:02 | Source: renderer
[2026-06-23 02:31:02] FrameRendered: at 2026-06-23 02:31:02 | Source: renderer
[2026-06-23 02:31:03] FrameRendered: at 2026-06-23 02:31:03 | Source: renderer
[2026-06-23 02:31:03] FrameRendered: at 2026-06-23 02:31:03 | Source: renderer
[2026-06-23 02:31:03] FrameRendered: at 2026-06-23 02:31:03 | Source: renderer
[2026-06-23 02:31:04] FrameRendered: at 2026-06-23 02:31:04 | Source: renderer
[2026-06-23 02:31:05] FrameRendered: at 2026-06-23 02:31:05 | Source: renderer
[2026-06-23 02:31:05] FrameRendered: at 2026-06-23 02:31:05 | Source: renderer
[2026-06-23 02:31:05] FrameRendered: at 2026-06-23 02:31:05 | Source: renderer
[2026-06-23 02:31:05] FrameRendered: at 2026-06-23 02:31:05 | Source: renderer
[2026-06-23 02:31:05] FrameRendered: at 2026-06-23 02:31:05 | Source: renderer
[2026-06-23 02:31:05] FrameRendered: at 2026-06-23 02:31:05 | Source: renderer
