x,y,z,r,g,b
-0.875,-0.875,-0.875,87,87,87
-0.875,-0.875,-0.625,87,87,87
-0.875,-0.875,-0.375,87,87,87
-0.875,-0.875,-0.125,87,87,87
-0.875,-0.875,0.125,87,87,87
-0.875,-0.875,0.375,87,87,87
-0.875,-0.875,0.625,87,87,87
-0.875,-0.875,0.875,87,87,87
-0.625,-0.875,-0.875,151,151,151
-0.625,-0.875,-0.625,151,151,151
-0.625,-0.875,-0.375,151,151,151
-0.625,-0.875,-0.125,151,151,151
-0.625,-0.875,0.125,151,151,151
-0.625,-0.875,0.375,151,151,151
-0.625,-0.875,0.625,151,151,151
-0.625,-0.875,0.875,151,151,151
-0.375,-0.875,-0.875,151,151,151
-0.375,-0.875,-0.625,151,151,151
-0.375,-0.875,-0.375,151,151,151
-0.375,-0.875,-0.125,151,151,151
-0.375,-0.875,0.125,151,151,151
-0.375,-0.875,0.375,151,151,151
-0.375,-0.875,0.625,151,151,151
-0.375,-0.875,0.875,151,151,151
-0.125,-0.875,-0.875,151,151,151
-0.125,-0.875,-0.625,151,151,151
-0.125,-0.875,-0.375,151,151,151
-0.125,-0.875,-0.125,151,151,151
-0.125,-0.875,0.125,151,151,151
-0.125,-0.875,0.375,151,151,151
-0.125,-0.875,0.625,151,151,151
-0.125,-0.875,0.875,151,151,151
0.125,-0.875,-0.875,151,151,151
0.125,-0.875,-0.625,151,151,151
0.125,-0.875,-0.375,151,151,151
0.125,-0.875,-0.125,151,151,151
0.125,-0.875,0.125,151,151,151
0.125,-0.875,0.375,151,151,151
0.125,-0.875,0.625,151,151,151
0.125,-0.875,0.875,151,151,151
0.375,-0.875,-0.875,151,151,151
0.375,-0.875,-0.625,151,151,151
0.375,-0.875,-0.375,151,151,151
0.375,-0.875,-0.125,151,151,151
0.375,-0.875,0.125,151,151,151
0.375,-0.875,0.375,151,151,151
0.375,-0.875,0.625,151,151,151
0.375,-0.875,0.875,151,151,151
0.625,-0.875,-0.875,87,87,87
0.625,-0.875,-0.625,87,87,87
0.625,-0.875,-0.375,87,87,87
0.625,-0.875,-0.125,87,87,87
0.625,-0.875,0.125,87,87,87
0.625,-0.875,0.375,87,87,87
0.625,-0.875,0.625,87,87,87
0.625,-0.875,0.875,87,87,87
0.875,-0.875,-0.875,51,51,51
0.875,-0.875,-0.625,51,51,51
0.875,-0.875,-0.375,51,51,51
0.875,-0.875,-0.125,51,51,51
0.875,-0.875,0.125,51,51,51
0.875,-0.875,0.375,51,51,51
0.875,-0.875,0.625,51,51,51
0.875,-0.875,0.875,51,51,51
-0.875,-0.625,-0.875,151,151,151
-0.875,-0.625,-0.625,151,151,151
-0.875,-0.625,-0.375,151,151,151
