x,y,z,r,g,b
-0.125,-0.875,-0.875,18,13,11
-0.125,-0.875,-0.625,18,13,11
-0.125,-0.875,-0.375,18,13,11
-0.125,-0.875,-0.125,18,13,11
-0.125,-0.875,0.125,18,13,11
-0.125,-0.875,0.375,18,13,11
-0.125,-0.875,0.625,18,13,11
-0.125,-0.875,0.875,18,13,11
0.125,-0.875,-0.875,21,15,13
0.125,-0.875,-0.625,21,15,13
0.125,-0.875,-0.375,21,15,13
0.125,-0.875,-0.125,21,15,13
0.125,-0.875,0.125,21,15,13
0.125,-0.875,0.375,21,15,13
0.125,-0.875,0.625,21,15,13
0.125,-0.875,0.875,21,15,13
0.375,-0.875,-0.875,2,1,1
0.375,-0.875,-0.625,2,1,1
0.375,-0.875,-0.375,2,1,1
0.375,-0.875,-0.125,2,1,1
0.375,-0.875,0.125,2,1,1
0.375,-0.875,0.375,2,1,1
0.375,-0.875,0.625,2,1,1
0.375,-0.875,0.875,2,1,1
-0.625,-0.625,-0.875,15,11,9
-0.625,-0.625,-0.625,15,11,9
-0.625,-0.625,-0.375,15,11,9
-0.625,-0.625,-0.125,15,11,9
-0.625,-0.625,0.125,15,11,9
-0.625,-0.625,0.375,15,11,9
-0.625,-0.625,0.625,15,11,9
-0.625,-0.625,0.875,15,11,9
-0.375,-0.625,-0.875,86,59,51
-0.375,-0.625,-0.625,86,59,51
-0.375,-0.625,-0.375,86,59,51
-0.375,-0.625,-0.125,86,59,51
-0.375,-0.625,0.125,86,59,51
-0.375,-0.625,0.375,86,59,51
-0.375,-0.625,0.625,86,59,51
-0.375,-0.625,0.875,86,59,51
-0.125,-0.625,-0.875,94,65,55
-0.125,-0.625,-0.625,94,65,55
-0.125,-0.625,-0.375,94,65,55
-0.125,-0.625,-0.125,94,65,55
-0.125,-0.625,0.125,94,65,55
-0.125,-0.625,0.375,94,65,55
-0.125,-0.625,0.625,94,65,55
-0.125,-0.625,0.875,94,65,55
0.125,-0.625,-0.875,94,64,54
0.125,-0.625,-0.625,94,64,54
0.125,-0.625,-0.375,94,64,54
0.125,-0.625,-0.125,94,64,54
0.125,-0.625,0.125,94,64,54
0.125,-0.625,0.375,94,64,54
0.125,-0.625,0.625,94,64,54
0.125,-0.625,0.875,94,64,54
0.375,-0.625,-0.875,93,64,55
0.375,-0.625,-0.625,93,64,55
0.375,-0.625,-0.375,93,64,55
0.375,-0.625,-0.125,93,64,55
0.375,-0.625,0.125,93,64,55
0.375,-0.625,0.375,93,64,55
0.375,-0.625,0.625,93,64,55
0.375,-0.625,0.875,93,64,55
0.625,-0.625,-0.875,26,18,16
0.625,-0.625,-0.625,26,18,16
0.625,-0.625,-0.375,26,18,16
0.625,-0.625,-0.125,26,18,16
0.625,-0.625,0.125,26,18,16
0.625,-0.625,0.375,26,18,16
0.625,-0.625,0.625,26,18,16
0.625,-0.625,0.875,26,18,16
-0.625,-0.375,-0.875,75,52,44
-0.625,-0.375,-0.625,75,52,44
-0.625,-0.375,-0.375,75,52,44
-0.625,-0.375,-0.125,75,52,44
-0.625,-0.375,0.125,75,52,44
-0.625,-0.375,0.375,75,52,44
-0.625,-0.375,0.625,75,52,44
-0.625,-0.375,0.875,75,52,44
-0.375,-0.375,-0.875,85,58,49
-0.375,-0.375,-0.625,85,58,49
-0.375,-0.375,-0.375,85,58,49
-0.375,-0.375,-0.125,85,58,49
-0.375,-0.375,0.125,85,58,49
-0.375,-0.375,0.375,85,58,49
-0.375,-0.375,0.625,85,58,49
-0.375,-0.375,0.875,85,58,49
-0.125,-0.375,-0.875,84,57,48
-0.125,-0.375,-0.625,84,57,48
-0.125,-0.375,-0.375,84,57,48
-0.125,-0.375,-0.125,84,57,48
-0.125,-0.375,0.125,84,57,48
-0.125,-0.375,0.375,84,57,48
-0.125,-0.375,0.625,84,57,48
-0.125,-0.375,0.875,84,57,48
0.125,-0.375,-0.875,98,69,47
0.125,-0.375,-0.625,98,69,47
0.125,-0.375,-0.375,98,69,47
0.125,-0.375,-0.125,98,69,47
0.125,-0.375,0.125,98,69,47
0.125,-0.375,0.375,98,69,47
0.125,-0.375,0.625,98,69,47
0.125,-0.375,0.875,98,69,47
0.375,-0.375,-0.875,84,57,48
0.375,-0.375,-0.625,84,57,48
0.375,-0.375,-0.375,84,57,48
0.375,-0.375,-0.125,84,57,48
0.375,-0.375,0.125,84,57,48
0.375,-0.375,0.375,84,57,48
0.375,-0.375,0.625,84,57,48
0.375,-0.375,0.875,84,57,48
0.625,-0.375,-0.875,88,61,52
0.625,-0.375,-0.625,88,61,52
0.625,-0.375,-0.375,88,61,52
0.625,-0.375,-0.125,88,61,52
0.625,-0.375,0.125,88,61,52
0.625,-0.375,0.375,88,61,52
0.625,-0.375,0.625,88,61,52
