# Emoji Position Mapping
# Format: emoji_name|position_index|sanitized_name
grinning_face|0|grinning_face
grinning_face_with_big_eyes|1|grinning_face_with_big_eyes
grinning_face_with_smiling_eyes|2|grinning_face_with_smiling_eyes
beaming_face_with_smiling_eyes|3|beaming_face_with_smiling_eyes
grinning_squinting_face|4|grinning_squinting_face
grinning_face_with_sweat|5|grinning_face_with_sweat
rolling_on_the_floor_laughing|6|rolling_on_the_floor_laughing
face_with_tears_of_joy|7|face_with_tears_of_joy
slightly_smiling_face|8|slightly_smiling_face
upside-down_face|9|upside-down_face
melting_face|10|melting_face
winking_face|11|winking_face
smiling_face_with_smiling_eyes|12|smiling_face_with_smiling_eyes
smiling_face_with_halo|13|smiling_face_with_halo
smiling_face_with_hearts|14|smiling_face_with_hearts
smiling_face_with_heart-eyes|15|smiling_face_with_heart-eyes
star-struck|16|star-struck
face_blowing_a_kiss|17|face_blowing_a_kiss
kissing_face|18|kissing_face
smiling_face|19|smiling_face
kissing_face_with_closed_eyes|20|kissing_face_with_closed_eyes
kissing_face_with_smiling_eyes|21|kissing_face_with_smiling_eyes
smiling_face_with_tear|22|smiling_face_with_tear
face_savoring_food|23|face_savoring_food
face_with_tongue|24|face_with_tongue
winking_face_with_tongue|25|winking_face_with_tongue
zany_face|26|zany_face
squinting_face_with_tongue|27|squinting_face_with_tongue
money-mouth_face|28|money-mouth_face
smiling_face_with_open_hands|29|smiling_face_with_open_hands
face_with_hand_over_mouth|30|face_with_hand_over_mouth
face_with_open_eyes_and_hand_over_mouth|31|face_with_open_eyes_and_hand_over_mouth
face_with_peeking_eye|32|face_with_peeking_eye
shushing_face|33|shushing_face
thinking_face|34|thinking_face
saluting_face|35|saluting_face
zipper-mouth_face|36|zipper-mouth_face
face_with_raised_eyebrow|37|face_with_raised_eyebrow
neutral_face|38|neutral_face
expressionless_face|39|expressionless_face
face_without_mouth|40|face_without_mouth
dotted_line_face|41|dotted_line_face
face_in_clouds|42|face_in_clouds
smirking_face|43|smirking_face
unamused_face|44|unamused_face
face_with_rolling_eyes|45|face_with_rolling_eyes
grimacing_face|46|grimacing_face
face_exhaling|47|face_exhaling
lying_face|48|lying_face
relieved_face|49|relieved_face
pensive_face|50|pensive_face
sleepy_face|51|sleepy_face
drooling_face|52|drooling_face
sleeping_face|53|sleeping_face
face_with_medical_mask|54|face_with_medical_mask
face_with_thermometer|55|face_with_thermometer
face_with_head-bandage|56|face_with_head-bandage
nauseated_face|57|nauseated_face
face_vomiting|58|face_vomiting
sneezing_face|59|sneezing_face
hot_face|60|hot_face
cold_face|61|cold_face
woozy_face|62|woozy_face
face_with_crossed-out_eyes|63|face_with_crossed-out_eyes
face_with_spiral_eyes|64|face_with_spiral_eyes
exploding_head|65|exploding_head
cowboy_hat_face|66|cowboy_hat_face
partying_face|67|partying_face
disguised_face|68|disguised_face
smiling_face_with_sunglasses|69|smiling_face_with_sunglasses
nerd_face|70|nerd_face
face_with_monocle|71|face_with_monocle
confused_face|72|confused_face
face_with_diagonal_mouth|73|face_with_diagonal_mouth
worried_face|74|worried_face
slightly_frowning_face|75|slightly_frowning_face
frowning_face|76|frowning_face
face_with_open_mouth|77|face_with_open_mouth
hushed_face|78|hushed_face
astonished_face|79|astonished_face
flushed_face|80|flushed_face
pleading_face|81|pleading_face
face_holding_back_tears|82|face_holding_back_tears
frowning_face_with_open_mouth|83|frowning_face_with_open_mouth
anguished_face|84|anguished_face
fearful_face|85|fearful_face
anxious_face_with_sweat|86|anxious_face_with_sweat
sad_but_relieved_face|87|sad_but_relieved_face
crying_face|88|crying_face
loudly_crying_face|89|loudly_crying_face
face_screaming_in_fear|90|face_screaming_in_fear
confounded_face|91|confounded_face
persevering_face|92|persevering_face
disappointed_face|93|disappointed_face
downcast_face_with_sweat|94|downcast_face_with_sweat
weary_face|95|weary_face
tired_face|96|tired_face
yawning_face|97|yawning_face
face_with_steam_from_nose|98|face_with_steam_from_nose
pouting_face|99|pouting_face
angry_face|100|angry_face
face_with_symbols_on_mouth|101|face_with_symbols_on_mouth
smiling_face_with_horns|102|smiling_face_with_horns
angry_face_with_horns|103|angry_face_with_horns
skull|104|skull
skull_and_crossbones|105|skull_and_crossbones
pile_of_poo|106|pile_of_poo
clown_face|107|clown_face
ogre|108|ogre
goblin|109|goblin
ghost|110|ghost
alien|111|alien
alien_monster|112|alien_monster
robot|113|robot
grinning_cat|114|grinning_cat
grinning_cat_with_smiling_eyes|115|grinning_cat_with_smiling_eyes
cat_with_tears_of_joy|116|cat_with_tears_of_joy
smiling_cat_with_heart-eyes|117|smiling_cat_with_heart-eyes
cat_with_wry_smile|118|cat_with_wry_smile
kissing_cat|119|kissing_cat
weary_cat|120|weary_cat
crying_cat|121|crying_cat
pouting_cat|122|pouting_cat
see-no-evil_monkey|123|see-no-evil_monkey
