[2026-05-29 02:48:02] FrameRendered: at 2026-05-29 02:48:02 | Source: renderer
[2026-05-29 02:48:03] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-29 02:48:03] FrameRendered: at 2026-05-29 02:48:03 | Source: renderer
[2026-05-29 02:48:05] InputReceived: key_code=50 | Source: keyboard_linux
[2026-05-29 02:48:05] FrameRendered: at 2026-05-29 02:48:05 | Source: renderer
[2026-05-29 02:48:05] InputReceived: key_code=48 | Source: keyboard_linux
[2026-05-29 02:48:05] FrameRendered: at 2026-05-29 02:48:05 | Source: renderer
[2026-05-29 02:48:06] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-29 02:48:06] FrameRendered: at 2026-05-29 02:48:06 | Source: renderer
[2026-05-29 02:48:06] FrameRendered: at 2026-05-29 02:48:06 | Source: renderer
[2026-05-29 02:48:06] FrameRendered: at 2026-05-29 02:48:06 | Source: renderer
[2026-05-29 02:48:07] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-29 02:48:07] FrameRendered: at 2026-05-29 02:48:07 | Source: renderer
[2026-05-29 02:48:07] InputReceived: key_code=42 | Source: keyboard_linux
[2026-05-29 02:48:07] FrameRendered: at 2026-05-29 02:48:07 | Source: renderer
[2026-05-29 02:48:07] FrameRendered: at 2026-05-29 02:48:07 | Source: renderer
[2026-05-29 02:48:10] InputReceived: key_code=27 | Source: keyboard_linux
[2026-05-29 02:48:10] FrameRendered: at 2026-05-29 02:48:10 | Source: renderer
[2026-05-29 02:48:10] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-29 02:48:10] FrameRendered: at 2026-05-29 02:48:10 | Source: renderer
[2026-05-29 02:48:11] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-29 02:48:11] FrameRendered: at 2026-05-29 02:48:11 | Source: renderer
[2026-05-29 02:48:11] InputReceived: key_code=127 | Source: keyboard_linux
[2026-05-29 02:48:11] FrameRendered: at 2026-05-29 02:48:11 | Source: renderer
