[2026-05-29 05:51:52] FrameRendered: at 2026-05-29 05:51:52 | Source: renderer
[2026-05-29 05:51:53] FrameRendered: at 2026-05-29 05:51:53 | Source: renderer
[2026-05-29 05:51:54] InputReceived: key_code=49 | Source: keyboard_linux
[2026-05-29 05:51:54] FrameRendered: at 2026-05-29 05:51:54 | Source: renderer
[2026-05-29 05:51:55] InputReceived: key_code=55 | Source: keyboard_linux
[2026-05-29 05:51:55] FrameRendered: at 2026-05-29 05:51:55 | Source: renderer
[2026-05-29 05:51:55] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-29 05:51:55] FrameRendered: at 2026-05-29 05:51:55 | Source: renderer
[2026-05-29 05:51:55] FrameRendered: at 2026-05-29 05:51:55 | Source: renderer
[2026-05-29 05:51:56] FrameRendered: at 2026-05-29 05:51:56 | Source: renderer
[2026-05-29 05:51:57] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-29 05:51:57] FrameRendered: at 2026-05-29 05:51:57 | Source: renderer
[2026-05-29 05:51:58] InputReceived: key_code=42 | Source: keyboard_linux
[2026-05-29 05:51:58] FrameRendered: at 2026-05-29 05:51:58 | Source: renderer
[2026-05-29 05:51:58] FrameRendered: at 2026-05-29 05:51:58 | Source: renderer
[2026-05-29 05:52:00] InputReceived: key_code=27 | Source: keyboard_linux
[2026-05-29 05:52:00] FrameRendered: at 2026-05-29 05:52:00 | Source: renderer
[2026-05-29 05:52:00] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-29 05:52:00] FrameRendered: at 2026-05-29 05:52:00 | Source: renderer
[2026-05-29 05:52:01] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-29 05:52:01] FrameRendered: at 2026-05-29 05:52:01 | Source: renderer
[2026-05-29 05:52:01] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-29 05:52:01] FrameRendered: at 2026-05-29 05:52:01 | Source: renderer
[2026-05-29 05:52:01] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-29 05:52:02] FrameRendered: at 2026-05-29 05:52:02 | Source: renderer
[2026-05-29 05:52:02] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-29 05:52:02] FrameRendered: at 2026-05-29 05:52:02 | Source: renderer
[2026-05-29 05:52:02] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-29 05:52:02] FrameRendered: at 2026-05-29 05:52:02 | Source: renderer
[2026-05-29 05:52:03] InputReceived: key_code=27 | Source: keyboard_linux
[2026-05-29 05:52:03] FrameRendered: at 2026-05-29 05:52:03 | Source: renderer
[2026-05-29 05:52:03] InputReceived: key_code=27 | Source: keyboard_linux
[2026-05-29 05:52:03] FrameRendered: at 2026-05-29 05:52:03 | Source: renderer
[2026-05-29 05:52:03] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-29 05:52:03] FrameRendered: at 2026-05-29 05:52:03 | Source: renderer
[2026-05-29 05:52:03] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-29 05:52:03] FrameRendered: at 2026-05-29 05:52:03 | Source: renderer
[2026-05-29 05:52:04] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-05-29 05:52:04] FrameRendered: at 2026-05-29 05:52:04 | Source: renderer
[2026-05-29 05:52:04] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-29 05:52:04] FrameRendered: at 2026-05-29 05:52:04 | Source: renderer
[2026-05-29 05:52:05] InputReceived: key_code=127 | Source: keyboard_linux
[2026-05-29 05:52:05] FrameRendered: at 2026-05-29 05:52:05 | Source: renderer
