[2026-05-29 13:56:37] FrameRendered: at 2026-05-29 13:56:37 | Source: renderer
[2026-05-29 13:56:38] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-29 13:56:38] FrameRendered: at 2026-05-29 13:56:38 | Source: renderer
[2026-05-29 13:56:42] InputReceived: key_code=51 | Source: keyboard_linux
[2026-05-29 13:56:42] FrameRendered: at 2026-05-29 13:56:42 | Source: renderer
[2026-05-29 13:56:42] InputReceived: key_code=50 | Source: keyboard_linux
[2026-05-29 13:56:42] FrameRendered: at 2026-05-29 13:56:42 | Source: renderer
[2026-05-29 13:56:43] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-29 13:56:43] FrameRendered: at 2026-05-29 13:56:43 | Source: renderer
[2026-05-29 13:56:43] FrameRendered: at 2026-05-29 13:56:43 | Source: renderer
[2026-05-29 13:56:44] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-29 13:56:44] FrameRendered: at 2026-05-29 13:56:44 | Source: renderer
[2026-05-29 13:56:44] InputReceived: key_code=104 | Source: keyboard_linux
[2026-05-29 13:56:44] FrameRendered: at 2026-05-29 13:56:44 | Source: renderer
[2026-05-29 13:56:44] InputReceived: key_code=105 | Source: keyboard_linux
[2026-05-29 13:56:44] FrameRendered: at 2026-05-29 13:56:44 | Source: renderer
[2026-05-29 13:56:44] InputReceived: key_code=13 | Source: keyboard_linux
[2026-05-29 13:56:44] FrameRendered: at 2026-05-29 13:56:44 | Source: renderer
[2026-05-29 13:56:45] FrameRendered: at 2026-05-29 13:56:45 | Source: renderer
[2026-05-29 13:56:46] FrameRendered: at 2026-05-29 13:56:46 | Source: renderer
[2026-05-29 13:56:47] FrameRendered: at 2026-05-29 13:56:47 | Source: renderer
[2026-05-29 13:56:48] FrameRendered: at 2026-05-29 13:56:48 | Source: renderer
[2026-05-29 13:56:49] FrameRendered: at 2026-05-29 13:56:49 | Source: renderer
[2026-05-29 13:56:50] FrameRendered: at 2026-05-29 13:56:50 | Source: renderer
[2026-05-29 13:56:51] FrameRendered: at 2026-05-29 13:56:51 | Source: renderer
[2026-05-29 13:56:52] FrameRendered: at 2026-05-29 13:56:52 | Source: renderer
[2026-05-29 13:56:53] FrameRendered: at 2026-05-29 13:56:53 | Source: renderer
[2026-05-29 13:56:54] FrameRendered: at 2026-05-29 13:56:54 | Source: renderer
[2026-05-29 13:56:55] FrameRendered: at 2026-05-29 13:56:55 | Source: renderer
[2026-05-29 13:56:56] FrameRendered: at 2026-05-29 13:56:56 | Source: renderer
[2026-05-29 13:56:57] FrameRendered: at 2026-05-29 13:56:57 | Source: renderer
[2026-05-29 13:56:58] FrameRendered: at 2026-05-29 13:56:58 | Source: renderer
[2026-05-29 13:56:59] FrameRendered: at 2026-05-29 13:56:59 | Source: renderer
[2026-05-29 13:57:00] FrameRendered: at 2026-05-29 13:57:00 | Source: renderer
[2026-05-29 13:57:01] FrameRendered: at 2026-05-29 13:57:01 | Source: renderer
[2026-05-29 13:57:02] FrameRendered: at 2026-05-29 13:57:02 | Source: renderer
[2026-05-29 13:57:03] FrameRendered: at 2026-05-29 13:57:03 | Source: renderer
[2026-05-29 13:57:04] FrameRendered: at 2026-05-29 13:57:04 | Source: renderer
[2026-05-29 13:57:05] FrameRendered: at 2026-05-29 13:57:05 | Source: renderer
[2026-05-29 13:57:06] FrameRendered: at 2026-05-29 13:57:06 | Source: renderer
[2026-05-29 13:57:07] FrameRendered: at 2026-05-29 13:57:07 | Source: renderer
[2026-05-29 13:57:08] FrameRendered: at 2026-05-29 13:57:08 | Source: renderer
[2026-05-29 13:57:09] FrameRendered: at 2026-05-29 13:57:09 | Source: renderer
[2026-05-29 13:57:10] FrameRendered: at 2026-05-29 13:57:10 | Source: renderer
[2026-05-29 13:57:11] FrameRendered: at 2026-05-29 13:57:11 | Source: renderer
[2026-05-29 13:57:12] FrameRendered: at 2026-05-29 13:57:12 | Source: renderer
[2026-05-29 13:57:13] FrameRendered: at 2026-05-29 13:57:13 | Source: renderer
[2026-05-29 13:57:14] FrameRendered: at 2026-05-29 13:57:14 | Source: renderer
[2026-05-29 13:57:15] FrameRendered: at 2026-05-29 13:57:15 | Source: renderer
[2026-05-29 13:57:16] FrameRendered: at 2026-05-29 13:57:16 | Source: renderer
[2026-05-29 13:57:17] FrameRendered: at 2026-05-29 13:57:17 | Source: renderer
[2026-05-29 13:57:18] FrameRendered: at 2026-05-29 13:57:18 | Source: renderer
[2026-05-29 13:57:19] FrameRendered: at 2026-05-29 13:57:19 | Source: renderer
[2026-05-29 13:57:20] FrameRendered: at 2026-05-29 13:57:20 | Source: renderer
[2026-05-29 13:57:21] FrameRendered: at 2026-05-29 13:57:21 | Source: renderer
[2026-05-29 13:57:22] FrameRendered: at 2026-05-29 13:57:22 | Source: renderer
[2026-05-29 13:57:23] FrameRendered: at 2026-05-29 13:57:23 | Source: renderer
[2026-05-29 13:57:24] FrameRendered: at 2026-05-29 13:57:24 | Source: renderer
[2026-05-29 13:57:25] FrameRendered: at 2026-05-29 13:57:25 | Source: renderer
[2026-05-29 13:57:26] FrameRendered: at 2026-05-29 13:57:26 | Source: renderer
[2026-05-29 13:57:27] FrameRendered: at 2026-05-29 13:57:27 | Source: renderer
[2026-05-29 13:57:28] FrameRendered: at 2026-05-29 13:57:28 | Source: renderer
