[2026-06-04 07:01:14] FrameRendered: at 2026-06-04 07:01:14 | Source: renderer
[2026-06-04 07:01:17] FrameRendered: at 2026-06-04 07:01:17 | Source: renderer
[2026-06-04 07:01:19] FrameRendered: at 2026-06-04 07:01:19 | Source: renderer
[2026-06-04 07:01:19] FrameRendered: at 2026-06-04 07:01:19 | Source: renderer
[2026-06-04 07:01:19] FrameRendered: at 2026-06-04 07:01:19 | Source: renderer
[2026-06-04 07:01:20] FrameRendered: at 2026-06-04 07:01:20 | Source: renderer
[2026-06-04 07:01:20] FrameRendered: at 2026-06-04 07:01:20 | Source: renderer
[2026-06-04 07:01:20] FrameRendered: at 2026-06-04 07:01:20 | Source: renderer
[2026-06-04 07:01:21] FrameRendered: at 2026-06-04 07:01:21 | Source: renderer
[2026-06-04 07:01:21] FrameRendered: at 2026-06-04 07:01:21 | Source: renderer
[2026-06-04 07:01:21] FrameRendered: at 2026-06-04 07:01:21 | Source: renderer
[2026-06-04 07:01:22] FrameRendered: at 2026-06-04 07:01:22 | Source: renderer
[2026-06-04 07:01:22] FrameRendered: at 2026-06-04 07:01:22 | Source: renderer
[2026-06-04 07:01:22] FrameRendered: at 2026-06-04 07:01:22 | Source: renderer
[2026-06-04 07:01:22] FrameRendered: at 2026-06-04 07:01:22 | Source: renderer
[2026-06-04 07:01:22] FrameRendered: at 2026-06-04 07:01:22 | Source: renderer
[2026-06-04 07:01:22] FrameRendered: at 2026-06-04 07:01:22 | Source: renderer
[2026-06-04 07:01:22] FrameRendered: at 2026-06-04 07:01:22 | Source: renderer
[2026-06-04 07:01:22] FrameRendered: at 2026-06-04 07:01:22 | Source: renderer
[2026-06-04 07:01:22] FrameRendered: at 2026-06-04 07:01:22 | Source: renderer
[2026-06-04 07:01:22] FrameRendered: at 2026-06-04 07:01:22 | Source: renderer
[2026-06-04 07:01:22] FrameRendered: at 2026-06-04 07:01:22 | Source: renderer
[2026-06-04 07:01:22] FrameRendered: at 2026-06-04 07:01:22 | Source: renderer
[2026-06-04 07:01:22] FrameRendered: at 2026-06-04 07:01:22 | Source: renderer
[2026-06-04 07:01:22] FrameRendered: at 2026-06-04 07:01:22 | Source: renderer
[2026-06-04 07:01:22] FrameRendered: at 2026-06-04 07:01:22 | Source: renderer
[2026-06-04 07:01:22] FrameRendered: at 2026-06-04 07:01:22 | Source: renderer
[2026-06-04 07:01:22] FrameRendered: at 2026-06-04 07:01:22 | Source: renderer
[2026-06-04 07:01:23] FrameRendered: at 2026-06-04 07:01:23 | Source: renderer
[2026-06-04 07:01:23] FrameRendered: at 2026-06-04 07:01:23 | Source: renderer
[2026-06-04 07:01:23] FrameRendered: at 2026-06-04 07:01:23 | Source: renderer
[2026-06-04 07:01:23] FrameRendered: at 2026-06-04 07:01:23 | Source: renderer
[2026-06-04 07:01:23] FrameRendered: at 2026-06-04 07:01:23 | Source: renderer
[2026-06-04 07:01:23] FrameRendered: at 2026-06-04 07:01:23 | Source: renderer
[2026-06-04 07:01:23] FrameRendered: at 2026-06-04 07:01:23 | Source: renderer
[2026-06-04 07:01:24] FrameRendered: at 2026-06-04 07:01:24 | Source: renderer
[2026-06-04 07:01:24] FrameRendered: at 2026-06-04 07:01:24 | Source: renderer
[2026-06-04 07:01:24] FrameRendered: at 2026-06-04 07:01:24 | Source: renderer
[2026-06-04 07:01:24] FrameRendered: at 2026-06-04 07:01:24 | Source: renderer
[2026-06-04 07:01:24] FrameRendered: at 2026-06-04 07:01:24 | Source: renderer
[2026-06-04 07:01:24] FrameRendered: at 2026-06-04 07:01:24 | Source: renderer
[2026-06-04 07:01:24] FrameRendered: at 2026-06-04 07:01:24 | Source: renderer
