[2026-06-02 23:29:02] FrameRendered: at 2026-06-02 23:29:02 | Source: renderer
[2026-06-02 23:29:03] InputReceived: key_code=13 | Source: keyboard_linux
[2026-06-02 23:29:03] FrameRendered: at 2026-06-02 23:29:03 | Source: renderer
[2026-06-02 23:29:05] InputReceived: key_code=52 | Source: keyboard_linux
[2026-06-02 23:29:05] FrameRendered: at 2026-06-02 23:29:05 | Source: renderer
[2026-06-02 23:29:05] InputReceived: key_code=48 | Source: keyboard_linux
[2026-06-02 23:29:06] FrameRendered: at 2026-06-02 23:29:06 | Source: renderer
[2026-06-02 23:29:06] InputReceived: key_code=13 | Source: keyboard_linux
[2026-06-02 23:29:06] FrameRendered: at 2026-06-02 23:29:06 | Source: renderer
[2026-06-02 23:29:09] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-06-02 23:29:09] FrameRendered: at 2026-06-02 23:29:09 | Source: renderer
[2026-06-02 23:29:10] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-06-02 23:29:10] FrameRendered: at 2026-06-02 23:29:10 | Source: renderer
[2026-06-02 23:29:11] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-06-02 23:29:11] FrameRendered: at 2026-06-02 23:29:11 | Source: renderer
[2026-06-02 23:29:12] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-06-02 23:29:12] FrameRendered: at 2026-06-02 23:29:12 | Source: renderer
