[Wed Jul  9 02:40:41 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:41 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:42 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:43 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:43 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:43 2025] Keyboard: key=d, x=815, y=477
[Wed Jul  9 02:40:43 2025] Keyboard: key=w, x=815, y=477
[Wed Jul  9 02:40:43 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:44 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:45 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:45 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:45 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:45 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:45 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:45 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:45 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:45 2025] Keyboard: key=s, x=815, y=477
[Wed Jul  9 02:40:45 2025] Keyboard: key=s, x=815, y=477
