[2026-06-05 00:29:54] FrameRendered: at 2026-06-05 00:29:54 | Source: renderer
[2026-06-05 00:29:54] FrameRendered: at 2026-06-05 00:29:54 | Source: renderer
[2026-06-05 00:29:55] FrameRendered: at 2026-06-05 00:29:55 | Source: renderer
[2026-06-05 00:29:55] FrameRendered: at 2026-06-05 00:29:55 | Source: renderer
[2026-06-05 00:29:57] FrameRendered: at 2026-06-05 00:29:57 | Source: renderer
[2026-06-05 00:29:57] FrameRendered: at 2026-06-05 00:29:57 | Source: renderer
[2026-06-05 00:29:58] FrameRendered: at 2026-06-05 00:29:58 | Source: renderer
[2026-06-05 00:29:58] FrameRendered: at 2026-06-05 00:29:58 | Source: renderer
[2026-06-05 00:29:58] FrameRendered: at 2026-06-05 00:29:58 | Source: renderer
[2026-06-05 00:30:00] FrameRendered: at 2026-06-05 00:30:00 | Source: renderer
[2026-06-05 00:30:01] FrameRendered: at 2026-06-05 00:30:01 | Source: renderer
[2026-06-05 00:30:01] FrameRendered: at 2026-06-05 00:30:01 | Source: renderer
[2026-06-05 00:30:02] FrameRendered: at 2026-06-05 00:30:02 | Source: renderer
