[2026-06-06 17:00:05] FrameRendered: at 2026-06-06 17:00:05 | Source: renderer
[2026-06-06 17:00:05] FrameRendered: at 2026-06-06 17:00:05 | Source: renderer
[2026-06-06 17:00:11] FrameRendered: at 2026-06-06 17:00:11 | Source: renderer
[2026-06-06 17:00:11] FrameRendered: at 2026-06-06 17:00:11 | Source: renderer
[2026-06-06 17:00:11] FrameRendered: at 2026-06-06 17:00:11 | Source: renderer
[2026-06-06 17:00:12] FrameRendered: at 2026-06-06 17:00:12 | Source: renderer
[2026-06-06 17:00:12] FrameRendered: at 2026-06-06 17:00:12 | Source: renderer
[2026-06-06 17:00:12] FrameRendered: at 2026-06-06 17:00:12 | Source: renderer
[2026-06-06 17:00:13] FrameRendered: at 2026-06-06 17:00:13 | Source: renderer
[2026-06-06 17:00:13] FrameRendered: at 2026-06-06 17:00:13 | Source: renderer
[2026-06-06 17:00:14] FrameRendered: at 2026-06-06 17:00:14 | Source: renderer
[2026-06-06 17:00:14] FrameRendered: at 2026-06-06 17:00:14 | Source: renderer
[2026-06-06 17:00:14] FrameRendered: at 2026-06-06 17:00:14 | Source: renderer
[2026-06-06 17:00:14] FrameRendered: at 2026-06-06 17:00:14 | Source: renderer
