[2026-06-09 18:37:48] FrameRendered: at 2026-06-09 18:37:48 | Source: renderer
[2026-06-09 18:37:48] FrameRendered: at 2026-06-09 18:37:48 | Source: renderer
[2026-06-09 18:37:49] FrameRendered: at 2026-06-09 18:37:49 | Source: renderer
[2026-06-09 18:37:50] FrameRendered: at 2026-06-09 18:37:50 | Source: renderer
[2026-06-09 18:37:50] FrameRendered: at 2026-06-09 18:37:50 | Source: renderer
[2026-06-09 18:37:50] FrameRendered: at 2026-06-09 18:37:50 | Source: renderer
[2026-06-09 18:37:51] FrameRendered: at 2026-06-09 18:37:51 | Source: renderer
[2026-06-09 18:37:51] FrameRendered: at 2026-06-09 18:37:51 | Source: renderer
[2026-06-09 18:37:52] FrameRendered: at 2026-06-09 18:37:52 | Source: renderer
[2026-06-09 18:37:52] FrameRendered: at 2026-06-09 18:37:52 | Source: renderer
[2026-06-09 18:37:55] FrameRendered: at 2026-06-09 18:37:55 | Source: renderer
