[2026-06-11 01:30:30] FrameRendered: at 2026-06-11 01:30:30 | Source: renderer
[2026-06-11 01:30:30] FrameRendered: at 2026-06-11 01:30:30 | Source: renderer
[2026-06-11 01:30:31] FrameRendered: at 2026-06-11 01:30:31 | Source: renderer
[2026-06-11 01:30:31] FrameRendered: at 2026-06-11 01:30:31 | Source: renderer
[2026-06-11 01:30:31] FrameRendered: at 2026-06-11 01:30:31 | Source: renderer
[2026-06-11 01:30:32] FrameRendered: at 2026-06-11 01:30:32 | Source: renderer
[2026-06-11 01:30:32] FrameRendered: at 2026-06-11 01:30:32 | Source: renderer
[2026-06-11 01:30:32] FrameRendered: at 2026-06-11 01:30:32 | Source: renderer
[2026-06-11 01:30:36] FrameRendered: at 2026-06-11 01:30:36 | Source: renderer
[2026-06-11 01:30:37] FrameRendered: at 2026-06-11 01:30:37 | Source: renderer
[2026-06-11 01:30:37] FrameRendered: at 2026-06-11 01:30:37 | Source: renderer
[2026-06-11 01:30:37] FrameRendered: at 2026-06-11 01:30:37 | Source: renderer
[2026-06-11 01:30:38] FrameRendered: at 2026-06-11 01:30:38 | Source: renderer
[2026-06-11 01:30:39] FrameRendered: at 2026-06-11 01:30:39 | Source: renderer
[1781166639] EventFire: Scan (6,8,0): Wall (Impassable) | Source: scan_op
[2026-06-11 01:30:39] FrameRendered: at 2026-06-11 01:30:39 | Source: renderer
[2026-06-11 01:30:39] FrameRendered: at 2026-06-11 01:30:39 | Source: renderer
[2026-06-11 01:30:39] FrameRendered: at 2026-06-11 01:30:39 | Source: renderer
[2026-06-11 01:30:39] FrameRendered: at 2026-06-11 01:30:39 | Source: renderer
[2026-06-11 01:30:40] FrameRendered: at 2026-06-11 01:30:40 | Source: renderer
[2026-06-11 01:30:40] FrameRendered: at 2026-06-11 01:30:40 | Source: renderer
[2026-06-11 01:30:41] FrameRendered: at 2026-06-11 01:30:41 | Source: renderer
[2026-06-11 01:30:41] FrameRendered: at 2026-06-11 01:30:41 | Source: renderer
[2026-06-11 01:30:41] FrameRendered: at 2026-06-11 01:30:41 | Source: renderer
[2026-06-11 01:30:41] FrameRendered: at 2026-06-11 01:30:41 | Source: renderer
[2026-06-11 01:30:42] FrameRendered: at 2026-06-11 01:30:42 | Source: renderer
[2026-06-11 01:30:42] FrameRendered: at 2026-06-11 01:30:42 | Source: renderer
[2026-06-11 01:30:42] FrameRendered: at 2026-06-11 01:30:42 | Source: renderer
[2026-06-11 01:30:44] FrameRendered: at 2026-06-11 01:30:44 | Source: renderer
[2026-06-11 01:30:44] FrameRendered: at 2026-06-11 01:30:44 | Source: renderer
[1781166644] EntityMoved: xlector | from (6,8) to (5,8)
[2026-06-11 01:30:44] FrameRendered: at 2026-06-11 01:30:44 | Source: renderer
[2026-06-11 01:30:44] FrameRendered: at 2026-06-11 01:30:44 | Source: renderer
[2026-06-11 01:30:44] FrameRendered: at 2026-06-11 01:30:44 | Source: renderer
[2026-06-11 01:30:45] FrameRendered: at 2026-06-11 01:30:45 | Source: renderer
[1781166645] EntityMoved: xlector | from (5,8) to (4,8)
[2026-06-11 01:30:45] FrameRendered: at 2026-06-11 01:30:45 | Source: renderer
[2026-06-11 01:30:45] FrameRendered: at 2026-06-11 01:30:45 | Source: renderer
[2026-06-11 01:30:48] FrameRendered: at 2026-06-11 01:30:48 | Source: renderer
