[2026-06-15 04:33:35] FrameRendered: at 2026-06-15 04:33:35 | Source: renderer
[2026-06-15 04:33:35] FrameRendered: at 2026-06-15 04:33:35 | Source: renderer
[2026-06-15 04:33:38] FrameRendered: at 2026-06-15 04:33:38 | Source: renderer
[2026-06-15 04:33:38] FrameRendered: at 2026-06-15 04:33:38 | Source: renderer
[2026-06-15 04:33:40] FrameRendered: at 2026-06-15 04:33:40 | Source: renderer
[2026-06-15 04:33:40] FrameRendered: at 2026-06-15 04:33:40 | Source: renderer
[2026-06-15 04:33:40] FrameRendered: at 2026-06-15 04:33:40 | Source: renderer
[2026-06-15 04:33:40] FrameRendered: at 2026-06-15 04:33:40 | Source: renderer
[2026-06-15 04:33:42] FrameRendered: at 2026-06-15 04:33:42 | Source: renderer
[2026-06-15 04:33:42] FrameRendered: at 2026-06-15 04:33:42 | Source: renderer
[2026-06-15 04:33:44] FrameRendered: at 2026-06-15 04:33:44 | Source: renderer
[2026-06-15 04:33:44] FrameRendered: at 2026-06-15 04:33:44 | Source: renderer
[2026-06-15 04:33:45] FrameRendered: at 2026-06-15 04:33:45 | Source: renderer
[2026-06-15 04:33:45] FrameRendered: at 2026-06-15 04:33:45 | Source: renderer
[2026-06-15 04:33:48] FrameRendered: at 2026-06-15 04:33:48 | Source: renderer
[2026-06-15 04:33:50] FrameRendered: at 2026-06-15 04:33:50 | Source: renderer
[2026-06-15 04:33:50] FrameRendered: at 2026-06-15 04:33:50 | Source: renderer
[2026-06-15 04:33:50] FrameRendered: at 2026-06-15 04:33:50 | Source: renderer
[2026-06-15 04:33:50] FrameRendered: at 2026-06-15 04:33:50 | Source: renderer
